processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBPL13158-19	KY569117	9734823		KY569117	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13159-19	KY569118	9734824		KY569118	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13160-19	KY569119	9734825		KY569119	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13161-19	KY569120	9734826		KY569120	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13162-19	KY569121	9734827		KY569121	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13163-19	KY569122	9734828		KY569122	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13164-19	KY569123	9734829		KY569123	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13165-19	KY569124	9734830		KY569124	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13166-19	KY569125	9734831		KY569125	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13167-19	KY569126	9734832		KY569126	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
