"species_marker_id","species_id","database_id","marker_id","sequenceID"
1,1,0,0,"1"
2,2,0,0,"1"
3,3,0,0,"1"
4,3,0,0,"1"
5,3,0,0,"1"
6,3,0,0,"1"
7,3,0,0,"1"
8,3,0,0,"1"
9,3,0,0,"1"
10,4,0,0,"1"
11,6,0,0,"1"
12,14,0,0,NA
13,14,0,0,NA
14,14,0,0,NA
15,14,0,0,NA
16,14,0,0,NA
17,14,0,0,NA
18,14,0,0,NA
19,14,0,0,NA
20,14,0,0,NA
21,14,0,0,NA
22,14,0,0,NA
23,14,0,0,NA
24,25,0,0,"1"
25,25,0,0,"1"
26,25,0,0,"18"
27,25,0,0,"2"
28,25,0,0,"2"
29,25,0,0,"21"
30,25,0,0,"3"
31,25,0,0,"5"
32,25,0,0,NA
33,26,0,0,"1"
34,26,0,0,"1"
35,28,0,0,NA
36,31,0,0,"1"
37,31,0,0,"1"
38,34,0,0,"1"
39,34,0,0,"1"
40,34,0,0,"1"
41,34,0,0,NA
42,34,0,0,NA
43,34,0,0,NA
44,35,0,0,"1"
45,37,0,0,"3"
46,38,1,2,"4432070"
47,38,1,2,"4432071"
48,39,0,0,"1"
49,39,0,0,"1"
50,39,0,0,"1"
51,39,0,0,"1"
52,39,0,0,"1"
53,39,0,0,"1"
54,39,0,0,"1"
55,39,0,0,"1"
56,39,0,0,"1"
57,39,0,0,"1"
58,39,1,2,"4431796"
59,39,1,2,"4432067"
60,39,1,2,"4432068"
61,39,1,2,"4432069"
62,39,1,2,"4432292"
63,39,1,2,"4468561"
64,58,0,0,"1"
65,58,0,0,"1"
66,58,0,0,"1"
67,58,0,0,"1"
68,58,0,0,"1"
69,58,0,0,"1"
70,58,0,0,"1"
71,58,0,0,"1"
72,59,0,0,"1"
73,59,0,0,"5"
74,67,0,0,"1"
75,67,0,0,"1"
76,67,0,0,"1"
77,67,0,0,"1"
78,67,0,0,"1"
79,67,0,0,"1"
80,67,0,0,"1"
81,67,0,0,"1"
82,67,0,0,"1"
83,67,0,0,"2"
84,71,0,0,NA
85,71,0,0,NA
86,71,0,0,NA
87,71,0,0,NA
88,71,0,0,NA
89,71,0,0,NA
90,71,0,0,NA
91,71,0,0,NA
92,71,0,0,NA
93,71,0,0,NA
94,74,0,0,"1"
95,74,0,0,"1"
96,74,0,0,"1"
97,74,0,0,"1"
98,74,0,0,"1"
99,74,0,0,"1"
100,74,0,0,"1"
101,74,0,0,"1"
102,74,0,0,"1"
103,74,0,0,"1"
104,74,0,0,"1"
105,74,0,0,"1"
106,74,0,0,"1"
107,75,0,0,"1"
108,75,0,0,"1"
109,75,0,0,"1"
110,75,0,0,"1"
